date,symbol,open,close,low,high,volume
2020-05-19 10-AM,BTCUSDT,9792,9787.51,9756,9799,12087003.66
2020-05-19 09-AM,BTCUSDT,9803.94,9792,9768,9820,40259744.07
2020-05-19 08-AM,BTCUSDT,9573.99,9803.94,9570.11,9829,97962953.28
2020-05-19 07-AM,BTCUSDT,9585.97,9573.99,9550,9622.44,18000254.16
2020-05-19 06-AM,BTCUSDT,9603.09,9585.97,9582.86,9625,14277254.87
2020-05-19 05-AM,BTCUSDT,9537.78,9603.09,9526.38,9607.68,21646107.13
2020-05-19 04-AM,BTCUSDT,9530,9537.78,9474,9579.58,31334694.11
2020-05-19 03-AM,BTCUSDT,9612.43,9530,9493.03,9634,33663973.98
2020-05-19 02-AM,BTCUSDT,9651.27,9612.43,9535,9655.71,31917430.29
2020-05-19 01-AM,BTCUSDT,9640.01,9651.27,9625,9667.89,13061874.77
2020-05-19 12-AM,BTCUSDT,9733.93,9640.01,9574.06,9742.95,43864629.02
2020-05-18 11-PM,BTCUSDT,9723.88,9733.93,9695.51,9755,20056177.1
2020-05-18 10-PM,BTCUSDT,9686.23,9723.88,9666.67,9747.35,16260720.88
2020-05-18 09-PM,BTCUSDT,9685.78,9686.23,9673.65,9726.86,12646628.77
2020-05-18 08-PM,BTCUSDT,9701.7,9685.78,9650,9720,12936065.05
2020-05-18 07-PM,BTCUSDT,9657.86,9701.7,9657.85,9720,28677898.85
2020-05-18 06-PM,BTCUSDT,9625.07,9657.86,9613,9671.85,16009287.75
2020-05-18 05-PM,BTCUSDT,9638.43,9625.07,9550.01,9659.13,29480546.67
2020-05-18 04-PM,BTCUSDT,9670.96,9638.43,9601.03,9710,34351897.14
2020-05-18 03-PM,BTCUSDT,9708.56,9670.96,9639.74,9723,25801153.73
2020-05-18 02-PM,BTCUSDT,9661.96,9708.56,9631.82,9735,30126487.11
2020-05-18 01-PM,BTCUSDT,9665,9661.96,9638.64,9694.04,27909146.41
2020-05-18 12-PM,BTCUSDT,9634.89,9665,9565.1,9670,31220110.46
2020-05-18 11-AM,BTCUSDT,9628.39,9634.89,9625,9714.95,29383208.51
2020-05-18 10-AM,BTCUSDT,9579.11,9628.39,9566.96,9666.66,37299252.92
2020-05-18 09-AM,BTCUSDT,9591.54,9579.11,9541.34,9616.43,42315723.74
2020-05-18 08-AM,BTCUSDT,9785.71,9591.54,9464.23,9796.91,91698303.98
2020-05-18 07-AM,BTCUSDT,9778.89,9785.71,9735.6,9809,21132048.74
2020-05-18 06-AM,BTCUSDT,9861.07,9778.89,9730,9884.54,47691057.06
2020-05-18 05-AM,BTCUSDT,9866.83,9861.07,9851.56,9902.87,18040785.67
2020-05-18 04-AM,BTCUSDT,9860.51,9866.83,9830,9910,32412025.93
2020-05-18 03-AM,BTCUSDT,9870.05,9860.51,9816.27,9891,22243391.78
2020-05-18 02-AM,BTCUSDT,9902.1,9870.05,9827.79,9926,30630073.21
2020-05-18 01-AM,BTCUSDT,9778.38,9902.1,9757.54,9950,108201708.17
2020-05-18 12-AM,BTCUSDT,9680.04,9778.38,9680.04,9788.46,31098597.69
2020-05-17 11-PM,BTCUSDT,9689.31,9680.04,9657.91,9729.88,20108043.51
2020-05-17 10-PM,BTCUSDT,9764.52,9689.31,9595.2,9765.58,54374682.81
2020-05-17 09-PM,BTCUSDT,9740.14,9764.52,9738.25,9798.49,12847101.69
2020-05-17 08-PM,BTCUSDT,9771,9740.14,9722.96,9772.35,13083879.95
2020-05-17 07-PM,BTCUSDT,9749.98,9771,9727.86,9791.95,16512015.66
2020-05-17 06-PM,BTCUSDT,9759.99,9749.98,9705,9763.99,16022620.02
2020-05-17 05-PM,BTCUSDT,9739,9759.99,9713.71,9770.98,16088705.44
2020-05-17 04-PM,BTCUSDT,9822.32,9739,9685,9840,43076909.17
2020-05-17 03-PM,BTCUSDT,9809.91,9822.32,9764.07,9888,72009007.18
2020-05-17 02-PM,BTCUSDT,9744.99,9809.91,9723,9822,41678575.72
2020-05-17 01-PM,BTCUSDT,9767.5,9744.99,9682.01,9787,43419256.34
2020-05-17 12-PM,BTCUSDT,9522.08,9767.5,9521.45,9774.95,93894927.27
2020-05-17 11-AM,BTCUSDT,9531.1,9522.08,9493.01,9535.49,14482574.95
2020-05-17 10-AM,BTCUSDT,9491.73,9531.1,9491,9538.36,12476407.95
2020-05-17 09-AM,BTCUSDT,9491,9491.73,9436,9514.95,15922503.87
2020-05-17 08-AM,BTCUSDT,9540.99,9491,9480.04,9554.73,17006822.26
2020-05-17 07-AM,BTCUSDT,9548.45,9540.99,9506.2,9567.85,17060937.51
2020-05-17 06-AM,BTCUSDT,9495,9548.45,9495,9555,12997139.4
2020-05-17 05-AM,BTCUSDT,9508.11,9495,9475,9532.94,13222422.7
2020-05-17 04-AM,BTCUSDT,9545.58,9508.11,9506.92,9573.63,14362892.79
2020-05-17 03-AM,BTCUSDT,9512.99,9545.58,9493.13,9579.16,21327531.79
2020-05-17 02-AM,BTCUSDT,9471.78,9512.99,9470,9555.1,20348140.56
2020-05-17 01-AM,BTCUSDT,9480,9471.78,9432.04,9521.53,24807015.89
2020-05-17 12-AM,BTCUSDT,9381.27,9480,9322.1,9507,35958686.39
2020-05-16 11-PM,BTCUSDT,9421.67,9381.27,9363.39,9436.63,10868781.89
2020-05-16 10-PM,BTCUSDT,9381.88,9421.67,9360.56,9442.98,15373092.01
2020-05-16 09-PM,BTCUSDT,9383,9381.88,9354,9425.96,13359267.68
2020-05-16 08-PM,BTCUSDT,9329.78,9383,9294.17,9392.78,16208607.84
2020-05-16 07-PM,BTCUSDT,9286.87,9329.78,9268,9353.32,16068283.48
2020-05-16 06-PM,BTCUSDT,9322.26,9286.87,9262,9347.25,28795475.62
2020-05-16 05-PM,BTCUSDT,9385.72,9322.26,9291,9408.66,23895715.22
2020-05-16 04-PM,BTCUSDT,9380.75,9385.72,9320,9419,30406296.16
2020-05-16 03-PM,BTCUSDT,9432.31,9380.75,9330,9440,27488810.47
2020-05-16 02-PM,BTCUSDT,9452.42,9432.31,9400,9493.39,20735421.81
2020-05-16 01-PM,BTCUSDT,9471.45,9452.42,9425,9534.85,38256331.42
2020-05-16 12-PM,BTCUSDT,9414.53,9471.45,9404,9500,28258042.54
2020-05-16 11-AM,BTCUSDT,9455,9414.53,9382.86,9458,15274956.95
2020-05-16 10-AM,BTCUSDT,9415.71,9455,9370,9458,20254545.66
2020-05-16 09-AM,BTCUSDT,9423.39,9415.71,9315,9434.94,20907873.97
2020-05-16 08-AM,BTCUSDT,9390.02,9423.39,9351.25,9438.73,24570198.93
2020-05-16 07-AM,BTCUSDT,9470.08,9390.02,9367.13,9510,23485821.32
2020-05-16 06-AM,BTCUSDT,9459.32,9470.08,9412.53,9483.68,16807936.59
2020-05-16 05-AM,BTCUSDT,9495.42,9459.32,9445.14,9588,44081479.32
2020-05-16 04-AM,BTCUSDT,9405.68,9495.42,9396.82,9499.97,24983730.92
2020-05-16 03-AM,BTCUSDT,9432.29,9405.68,9390.3,9448.32,15770660.44
2020-05-16 02-AM,BTCUSDT,9410.71,9432.29,9382.41,9458.16,19341502.55
2020-05-16 01-AM,BTCUSDT,9396.01,9410.71,9361.72,9444.88,24065828.03
2020-05-16 12-AM,BTCUSDT,9316.42,9396.01,9220,9399.97,41288344.19
2020-05-15 11-PM,BTCUSDT,9365.82,9316.42,9228.99,9395.83,32464511.04
2020-05-15 10-PM,BTCUSDT,9419.98,9365.82,9340.43,9487.58,31040590.66
2020-05-15 09-PM,BTCUSDT,9250.25,9419.98,9211.1,9455.18,48623155.85
2020-05-15 08-PM,BTCUSDT,9337.83,9250.25,9150,9409.26,112349407.07
2020-05-15 07-PM,BTCUSDT,9490.18,9337.83,9331.66,9511.1,60095186.26
2020-05-15 06-PM,BTCUSDT,9478.08,9490.18,9475.02,9534.78,20306344.0
2020-05-15 05-PM,BTCUSDT,9470.72,9478.08,9442,9506.31,27603224.73
2020-05-15 04-PM,BTCUSDT,9475.53,9470.72,9446.94,9517.01,34296701.39
2020-05-15 03-PM,BTCUSDT,9568.02,9475.53,9413.93,9570.81,68595668.6
2020-05-15 02-PM,BTCUSDT,9545.99,9568.02,9545.49,9616.65,30154666.36
2020-05-15 01-PM,BTCUSDT,9520.13,9545.99,9490,9579.12,32890238.49
2020-05-15 12-PM,BTCUSDT,9592.38,9520.13,9510,9593.53,37122470.19
2020-05-15 11-AM,BTCUSDT,9587.14,9592.38,9550.21,9655,30276635.31
2020-05-15 10-AM,BTCUSDT,9610.52,9587.14,9480,9627.37,43225267.43
2020-05-15 09-AM,BTCUSDT,9616,9610.52,9544,9656.25,37167272.93
2020-05-15 08-AM,BTCUSDT,9674.33,9616,9604.38,9710,38010182.53
2020-05-15 07-AM,BTCUSDT,9548,9674.33,9538.02,9729.81,59313423.9
2020-05-15 06-AM,BTCUSDT,9505.34,9548,9496.93,9554,27400687.38
2020-05-15 05-AM,BTCUSDT,9444.21,9505.34,9370.38,9525.01,45840578.51
2020-05-15 04-AM,BTCUSDT,9472.97,9444.21,9436.02,9510,29930573.77
2020-05-15 03-AM,BTCUSDT,9490.21,9472.97,9432,9563.02,55068353.84
2020-05-15 02-AM,BTCUSDT,9738.79,9490.21,9256.12,9748.51,146514280.31
2020-05-15 01-AM,BTCUSDT,9770.29,9738.79,9720.09,9775.52,17379391.45
2020-05-15 12-AM,BTCUSDT,9791.98,9770.29,9710.13,9845.62,34052563.88
2020-05-14 11-PM,BTCUSDT,9750.94,9791.98,9735,9850.32,38211618.86
2020-05-14 10-PM,BTCUSDT,9774.98,9750.94,9714.41,9818.74,33325958.75
2020-05-14 09-PM,BTCUSDT,9655.88,9774.98,9612.2,9780.18,31268376.91
2020-05-14 08-PM,BTCUSDT,9660,9655.88,9599.84,9874.3,90074575.73
2020-05-14 07-PM,BTCUSDT,9677.21,9660,9650.31,9723.04,28210422.58
2020-05-14 06-PM,BTCUSDT,9621.81,9677.21,9586,9683.44,22562393.71
2020-05-14 05-PM,BTCUSDT,9675.55,9621.81,9569.47,9675.55,28927549.89
2020-05-14 04-PM,BTCUSDT,9748.98,9675.55,9592,9783.01,53049791.31
2020-05-14 03-PM,BTCUSDT,9704,9748.98,9665.47,9758,31851942.17
2020-05-14 02-PM,BTCUSDT,9622.71,9704,9605,9759.99,59572065.29
2020-05-14 01-PM,BTCUSDT,9586,9622.71,9541.01,9649,40127211.19
2020-05-14 12-PM,BTCUSDT,9686.71,9586,9551.64,9713.77,70030205.98
2020-05-14 11-AM,BTCUSDT,9648.24,9686.71,9646.5,9799.13,72402199.89
2020-05-14 10-AM,BTCUSDT,9803.54,9648.24,9516,9939,195048802.61
2020-05-14 09-AM,BTCUSDT,9610,9803.54,9609,9828.99,122776086.69
2020-05-14 08-AM,BTCUSDT,9508.56,9610,9467.5,9648.29,69213653.23
2020-05-14 07-AM,BTCUSDT,9443.43,9508.56,9410,9547,57713922.12
2020-05-14 06-AM,BTCUSDT,9437.77,9443.43,9403.35,9480,45366631.83
2020-05-14 05-AM,BTCUSDT,9318.69,9437.77,9267,9447,49101344.4
2020-05-14 04-AM,BTCUSDT,9352.38,9318.69,9299.39,9356.63,16245529.97
2020-05-14 03-AM,BTCUSDT,9334.01,9352.38,9300.7,9359.37,19448439.27
2020-05-14 02-AM,BTCUSDT,9270.62,9334.01,9256.76,9340,18706711.35
2020-05-14 01-AM,BTCUSDT,9297.01,9270.62,9262.94,9328.62,22098103.35
2020-05-14 12-AM,BTCUSDT,9309.37,9297.01,9285,9386.62,32123260.72
2020-05-13 11-PM,BTCUSDT,9318.51,9309.37,9289.98,9349,23352361.57
2020-05-13 10-PM,BTCUSDT,9347.12,9318.51,9265,9363.96,32413947.19
2020-05-13 09-PM,BTCUSDT,9285.92,9347.12,9252,9398,72736557.31
2020-05-13 08-PM,BTCUSDT,9151.24,9285.92,9136.75,9330,84289163.78
2020-05-13 07-PM,BTCUSDT,9077.16,9151.24,9069.29,9160,29084301.65
2020-05-13 06-PM,BTCUSDT,9085.27,9077.16,9070.16,9108.55,19290604.16
2020-05-13 05-PM,BTCUSDT,9111.2,9085.27,9050.01,9115,23709893.01
2020-05-13 04-PM,BTCUSDT,9136.85,9111.2,9036.2,9165.73,45887521.81
2020-05-13 03-PM,BTCUSDT,9082.26,9136.85,9081.57,9188,56131331.55
2020-05-13 02-PM,BTCUSDT,9080.06,9082.26,9035.93,9135,55037918.44
2020-05-13 01-PM,BTCUSDT,9089.3,9080.06,9032.86,9115.88,48887597.19
2020-05-13 12-PM,BTCUSDT,9035.98,9089.3,8982.75,9099.22,50388133.0
2020-05-13 11-AM,BTCUSDT,8948.05,9035.98,8928,9048.62,48560945.99
2020-05-13 10-AM,BTCUSDT,8914.22,8948.05,8896.06,8960,29445866.2
2020-05-13 09-AM,BTCUSDT,8908.18,8914.22,8891.27,8933.25,20369156.48
2020-05-13 08-AM,BTCUSDT,8867.2,8908.18,8826.72,8917,26407295.2
2020-05-13 07-AM,BTCUSDT,8912.43,8867.2,8859.25,8920,17117430.23
2020-05-13 06-AM,BTCUSDT,8883.29,8912.43,8866.71,8920,17403113.59
2020-05-13 05-AM,BTCUSDT,8930.57,8883.29,8867.63,8940.58,17139362.45
